time,category,count
2022-02-01 21:00:00,COUNT=141,68
2022-02-04 15:00:00,If,550
2022-02-01 20:00:00,COUNT=396,82
2022-02-04 06:00:00,COUNT=169,386
2022-02-04 08:00:00,COUNT=117,402
2022-02-04 07:00:00,COUNT=366,189
2022-02-04 10:00:00,COUNT=331,196
2022-02-04 18:00:00,COUNT=339,31
2022-02-04 12:00:00,isn't,79
2022-02-04 10:00:00,COUNT=404,95
2022-02-04 17:00:00,yourself,118
2022-02-04 12:00:00,always,426
2022-02-04 09:00:00,could,341
2022-02-04 08:00:00,him,495
2022-02-04 07:00:00,COUNT=266,216
2022-02-04 05:00:00,vote,57
2022-02-04 17:00:00,COUNT=818,131
2022-02-04 13:00:00,COUNT=344,389
2022-02-04 05:00:00,COUNT=725,17
2022-02-04 08:00:00,COUNT=348,165
2022-02-04 14:00:00,COUNT=755,99
2022-02-04 06:00:00,COUNT=657,163
2022-02-04 16:00:00,HOURS,379
2022-02-04 12:00:00,In,324
2022-02-04 11:00:00,In,386
2022-02-04 08:00:00,COUNT=237,177
2022-02-04 07:00:00,$200,64
2022-02-04 06:00:00,COUNT=510,167
2022-02-04 14:00:00,COUNT=328,98
2022-02-04 09:00:00,COUNT=267,150
2022-02-04 06:00:00,COUNT=390,82
2022-02-04 13:00:00,for,6372
2022-02-04 14:00:00,COUNT=661,222
2022-02-04 18:00:00,saw,38
2022-02-04 08:00:00,COUNT=413,122
2022-02-04 12:00:00,#iHeartAwards,613
2022-02-04 10:00:00,COUNT=949,140
2022-02-04 07:00:00,COUNT=272,237
2022-02-04 14:00:00,IDR,717
2022-02-04 05:00:00,COUNT=542,13
2022-02-04 16:00:00,read,109
2022-02-04 17:00:00,told,105
2022-02-04 06:00:00,myself,184
2022-02-04 05:00:00,COUNT=637,9
2022-02-04 10:00:00,COUNT=637,94
2022-02-04 11:00:00,COUNT=708,88
2022-02-01 20:00:00,in…,59
2022-02-04 06:00:00,COUNT=525,141
2022-02-04 13:00:00,Ends,92
2022-02-04 11:00:00,COUNT=490,179
2022-02-04 18:00:00,😈,40
2022-02-04 14:00:00,link,99
2022-02-04 13:00:00,COUNT=669,224
2022-02-04 06:00:00,free,206
2022-02-04 09:00:00,next,276
2022-02-01 20:00:00,COUNT=670,67
2022-02-04 11:00:00,followers,77
2022-02-04 14:00:00,Not,204
2022-02-04 17:00:00,COUNT=600,91
2022-02-01 21:00:00,enough,17
2022-02-04 05:00:00,Would,12
2022-02-01 20:00:00,turn,41
2022-02-04 06:00:00,turn,104
2022-02-01 20:00:00,COUNT=612,51
2022-02-04 05:00:00,everyone,25
2022-02-04 10:00:00,COUNT=925,70
2022-02-04 07:00:00,COUNT=636,62
2022-02-04 08:00:00,COUNT=729,47
2022-02-04 13:00:00,MY,250
2022-02-04 10:00:00,COUNT=857,67
2022-02-04 16:00:00,Whitelist,83
2022-02-04 17:00:00,Now,192
2022-02-04 17:00:00,our,1042
2022-02-04 15:00:00,He,335
2022-02-04 12:00:00,COUNT=683,122
2022-02-04 17:00:00,COUNT=300,56
2022-02-04 18:00:00,women,45
2022-02-01 20:00:00,COUNT=942,29
2022-02-04 11:00:00,COUNT=942,92
2022-02-04 05:00:00,X,7
2022-02-04 07:00:00,let's,50
2022-02-04 14:00:00,looking,175
2022-02-04 18:00:00,:,1399
2022-02-01 21:00:00,he’s,9
2022-02-04 06:00:00,what,1254
2022-02-04 12:00:00,tag,87
2022-02-04 09:00:00,it.,286
2022-02-04 10:00:00,god,75
2022-02-04 17:00:00,random,71
2022-02-04 16:00:00,look,314
2022-02-04 11:00:00,where,285
2022-02-04 11:00:00,Louis,41
2022-02-04 12:00:00,COUNT=531,77
2022-02-04 12:00:00,What,453
2022-02-04 07:00:00,Giveaway,189
2022-02-01 20:00:00,#BestFanArmy,178
2022-02-01 20:00:00,COUNT=511,13
2022-02-04 13:00:00,COUNT=437,80
2022-02-04 07:00:00,4,261
2022-02-04 12:00:00,most,398
2022-02-04 11:00:00,COUNT=880,69
2022-02-04 05:00:00,--,1
2022-02-01 20:00:00,and…,56
2022-02-04 10:00:00,FOR,174
2022-02-04 10:00:00,know,964
2022-02-04 08:00:00,came,124
2022-02-04 08:00:00,COUNT=713,53
2022-02-01 20:00:00,Have,77
2022-02-04 14:00:00,I’m,692
2022-02-01 20:00:00,50,71
2022-02-04 10:00:00,big,252
2022-02-04 17:00:00,COUNT=1,52582
